deskripsi_masalah,layanan_rekomendasi
"Anak saya sedang demam tinggi dan batuk pilek sudah 3 hari",Kesehatan
"Butuh bantuan pengobatan untuk orangtua yang sakit stroke",Kesehatan
"Mencari informasi jadwal vaksin COVID-19 terdekat",Kesehatan
"Ingin konsultasi kesehatan gratis untuk masalah pusing berkepanjangan",Kesehatan
"Butuh rujukan ke rumah sakit untuk pengobatan medis lanjutan",Kesehatan
"Mencari bantuan dana untuk biaya pengobatan penyakit jantung",Kesehatan
"Perlu obat gratis untuk pengobatan rutin diabetes",Kesehatan
"Anak mengalami flu dan demam setelah kehujanan",Kesehatan
"Butuh pemeriksaan kesehatan rutin untuk lansia",Kesehatan
"Mencari informasi layanan vaksin anak gratis",Kesehatan
"Ingin mendaftar kursus komputer untuk meningkatkan skill kerja",Pendidikan
"Mencari informasi beasiswa kuliah untuk anak kurang mampu",Pendidikan
"Butuh bantuan les tambahan untuk anak SD yang kesulitan belajar",Pendidikan
"Ingin mengikuti pelatihan keterampilan menjahit",Pendidikan
"Mencari program pendidikan gratis untuk putus sekolah",Pendidikan
"Butuh informasi sekolah gratis untuk anak yatim",Pendidikan
"Ingin mengikuti kursus bahasa Inggris untuk pengembangan karir",Pendidikan
"Mencari program pelatihan wirausaha untuk pemula",Pendidikan
"Butuh bantuan biaya pendidikan untuk melanjutkan kuliah",Pendidikan
"Ingin mendaftar program akademik kejar paket C",Pendidikan
"Kesulitan membayar kontrakan setelah di PHK",Sosial
"Butuh bantuan sembako untuk keluarga kurang mampu",Sosial
"Mencari dukungan modal usaha untuk pedagang kecil",Sosial
"Kesulitan memenuhi kebutuhan hidup sehari-hari",Sosial
"Butuh bantuan biaya untuk keluarga miskin",Sosial
"Mencari program bantuan sosial untuk janda dengan 3 anak",Sosial
"Kesulitan ekonomi setelah suami meninggal",Sosial
"Butuh bantuan untuk biaya hidup lansia terlantar",Sosial
"Mencari dukungan untuk korban bencana alam",Sosial
"Butuh bantuan modal untuk usaha warung kecil",Sosial
"Ingin mengurus pembuatan KTP yang hilang",Kependudukan
"Butuh bantuan pembuatan akta kelahiran anak",Kependudukan
"Proses pindah domisili antar kota",Kependudukan
"Mengurus surat kematian untuk keperluan administrasi",Kependudukan
"Perlu pembaruan data pada Kartu Keluarga",Kependudukan
"Ingin mengurus surat pindah datang",Kependudukan
"Mengurus administrasi kelahiran anak kembar",Kependudukan
"Proses pembuatan KTP untuk anak yang baru 17 tahun",Kependudukan
"Butuh surat keterangan tinggal sementara",Kependudukan
"Mengurus administrasi kematian untuk warisan",Kependudukan
"Mencari rujukan dokter spesialis untuk sakit kronis",Kesehatan
"Butuh pengobatan rutin untuk pasien hipertensi",Kesehatan
"Konsultasi medis untuk masalah pencernaan",Kesehatan
"Program vaksinasi anak balita",Kesehatan
"Pemeriksaan kesehatan ibu hamil",Kesehatan
"Ingin mendaftar program beasiswa S1",Pendidikan
"Mencari pelatihan keterampilan otomotif",Pendidikan
"Program pendidikan vokasi untuk remaja",Pendidikan
"Kursus keterampilan komputer office",Pendidikan
"Bimbingan belajar untuk persiapan ujian",Pendidikan
"Bantuan modal usaha pedagang kaki lima",Sosial
"Program pemberdayaan ekonomi RT/RW",Sosial
"Bantuan biaya hidup lansia terlantar",Sosial
"Dukungan ekonomi untuk difabel",Sosial
"Program bantuan pangan non tunai",Sosial
"Pembuatan KTP elektronik baru",Kependudukan
"Mengurus surat pindah keluar kota",Kependudukan
"Pendaftaran penduduk baru",Kependudukan
"Update data kependudukan",Kependudukan
"Legalisasi dokumen kependudukan",Kependudukan
"Mencari pengobatan alternatif untuk sakit pinggang",Kesehatan
"Konsultasi kesehatan mental dan stress",Kesehatan
"Program vaksin lansia gratis",Kesehatan
"Pemeriksaan kesehatan anak sekolah",Kesehatan
"Pengobatan gigi dan mulut gratis",Kesehatan
"Pendaftaran sekolah untuk anak SD",Pendidikan
"Program beasiswa prestasi SMA",Pendidikan
"Pelatihan soft skill komunikasi",Pendidikan
"Kursus bahasa asing untuk pekerja",Pendidikan
"Program pendidikan informal",Pendidikan
"Bantuan usaha mikro kecil menengah",Sosial
